emp_no,first_name,last_name,gender,salary,to_date
10001,Georgi,Facello,M,60117,1/1/99
10198,Pranav,Furedi,M,44076,1/1/99
10215,Xiaobin,Duclos,M,43944,1/1/99
10224,Leon,Trogemann,M,40000,1/1/99
10233,Lein,Vendrig,F,40000,1/1/99
10004,Chirstian,Koblick,M,40054,1/1/99
10258,Basil,Ishibashi,F,66280,1/1/99
10009,Sumant,Peac,F,60929,1/1/99
10018,Kazuhide,Peha,F,55881,1/1/99
10272,Yishai,Cannane,M,58070,1/1/99
10282,Hercules,Benzmuller,M,40000,1/1/99
10283,Kauko,Birjandi,M,40000,1/1/99
10326,Masali,Czap,F,40000,1/1/99
10035,Alain,Chappelet,M,41538,1/1/99
10340,Djelloul,Laventhal,M,68132,1/1/99
10347,Pradeep,Kaminger,M,42199,1/1/99
10355,Satyanarayana,Cochrane,M,70434,1/1/99
10356,Vasilis,Standera,M,45376,1/1/99
10053,Sanjiv,Zschoche,F,67854,1/1/99
10364,Nakhoon,Dengi,M,51401,1/1/99
10058,Berhard,McFarlin,M,52787,1/1/99
10066,Kwee,Schusler,M,69736,1/1/99
10372,Anneli,Frijda,F,54505,1/1/99
10067,Claudi,Stavenow,M,44642,1/1/99
10070,Reuven,Garigliano,M,55999,1/1/99
10072,Hironoby,Sidou,F,40000,1/1/99
10076,Erez,Ritzmann,F,47319,1/1/99
10088,Jungsoon,Syrzycki,F,65957,1/1/99
10387,Parto,Wrigley,F,61374,1/1/99
10396,Sibyl,Rahier,M,40393,1/1/99
10402,Volkmar,Ebeling,M,40000,1/1/99
10404,Prodip,Rosti,F,51647,1/1/99
10100,Hironobu,Haraldson,F,54398,1/1/99
10103,Akemi,Birch,M,68158,1/1/99
10126,Kayoko,Valtorta,M,40000,1/1/99
10426,Arunas,Luce,F,65757,1/1/99
10429,Martien,Improta,F,40000,1/1/99
10432,Hisao,Tiemann,F,40000,1/1/99
10129,Armond,Peir,M,40000,1/1/99
10451,Bodh,Ranta,F,46275,1/1/99
10453,Tsvetan,Matzel,F,40000,1/1/99
10130,Nishit,Casperson,M,40000,1/1/99
10134,Diederik,Siprelle,M,40000,1/1/99
10463,Ung,Zaiane,M,66480,1/1/99
10138,Perry,Shimshoni,M,53574,1/1/99
10150,Zhenbing,Perng,F,70122,1/1/99
10486,Amstein,Kossowski,F,71692,1/1/99
10153,Heekeun,Majewski,M,54246,1/1/99
10157,Nigel,Aloisi,M,48770,1/1/99
10494,Yakkov,Servieres,F,50094,1/1/99
10504,Xiong,Varker,M,43931,1/1/99
10564,Jianhao,Thisen,M,46660,1/1/99
10512,Udi,Gihr,M,40000,1/1/99
10522,Marke,Cesareni,F,40000,1/1/99
10548,Ramalingam,Gunderson,M,90631,1/1/99
10745,Poorav,Ranze,F,40000,1/1/99
10749,King,Brendel,M,60829,1/1/99
10623,Aleksander,Danlos,F,60268,1/1/99
10767,Monique,Doering,F,40651,1/1/99
10768,Ishfaq,Candan,M,65717,1/1/99
10778,Selwyn,Merey,M,64996,1/1/99
10791,Tadahiko,Sgarro,M,40000,1/1/99
10795,Supot,Naudin,M,84206,1/1/99
10808,Chenxi,Leijenhorst,M,40000,1/1/99
10835,Tomoyuki,Kermarrec,M,40000,1/1/99
10836,Jianhua,Leivant,F,65502,1/1/99
10844,Dipayan,Koprowski,M,40000,1/1/99
10847,Theirry,Danley,M,40000,1/1/99
10628,Krisda,Krogh,M,41650,1/1/99
10631,Inderjeet,Chaudhuri,M,40000,1/1/99
10848,Fen,Bratsberg,F,50475,1/1/99
10642,Hirochika,Narlikar,M,40000,1/1/99
10653,Otmar,Feinberg,M,40000,1/1/99
10878,Lakshmi,Deville,M,72102,1/1/99
10879,Muzhong,Chleq,F,65651,1/1/99
10883,Shimshon,Champarnaud,M,40000,1/1/99
10671,Parviz,Rebaine,M,74037,1/1/99
10909,Georgi,Atchley,M,80935,1/1/99
10676,Valeri,Danley,F,58226,1/1/99
10921,Mara,Bahi,F,72601,1/1/99
10924,Hironoby,Atchley,F,84783,1/1/99
10693,Berhard,Daescu,F,40000,1/1/99
10927,Gal,Scallan,M,51819,1/1/99
10936,Mountaz,Schicker,F,40000,1/1/99
10702,Bader,Szemeredi,M,46581,1/1/99
10943,Berna,Skafidas,M,45890,1/1/99
10718,Adib,Rullman,M,75473,1/1/99
10726,Zita,Minakawa,F,46315,1/1/99
10965,Eckart,Braunschweig,M,61654,1/1/99
10969,Premal,Noriega,M,40000,1/1/99
10974,Muneo,Papsdorf,M,56005,1/1/99
10734,Sachar,Erdi,M,47377,1/1/99
11112,Boaz,Mukaidono,M,40000,1/1/99
10986,Masako,Schiper,M,43900,1/1/99
10988,Chinya,Deyuan,M,54174,1/1/99
10989,Sumali,Candan,F,46406,1/1/99
10990,Shin,Foote,M,40000,1/1/99
11113,Shahab,Peng,F,66401,1/1/99
11009,Alper,Axelband,F,75111,1/1/99
11012,Taegyun,Speckmann,F,72092,1/1/99
11121,Vugranam,Kakkad,F,40000,1/1/99
11019,Leon,Huttel,M,69387,1/1/99
11021,Srinidhi,Henders,F,62670,1/1/99
11027,Remzi,Cappello,M,40000,1/1/99
11031,Ottavia,Walstra,M,71654,1/1/99
11133,Nalini,Azulay,M,40000,1/1/99
11037,Lansing,Maliniak,M,40000,1/1/99
11038,Jinya,Beidas,M,44993,1/1/99
11042,Gou,Breugel,F,40000,1/1/99
11048,Jaques,Demke,M,65697,1/1/99
11050,Elvis,Katiyar,M,52251,1/1/99
11051,Przemyslawa,Erol,F,40000,1/1/99
11134,Sachar,Rajcani,F,58731,1/1/99
11137,Hugh,Luca,M,40000,1/1/99
11070,Adib,Raney,M,40000,1/1/99
11139,Bogdan,Homond,F,63596,1/1/99
11081,Barry,Boyle,M,65686,1/1/99
11146,Ishfaq,Masand,F,96019,1/1/99
11085,Hailing,Thummel,M,66437,1/1/99
11148,Zhanqiu,Botman,F,56344,1/1/99
11162,Kauko,Narlikar,F,69873,1/1/99
11180,Mitsuyuki,Bojadziev,F,40000,1/1/99
11100,Berna,Cochrane,M,40000,1/1/99
11106,Aris,Iwayama,F,71446,1/1/99
11197,Tadahiro,Fordan,M,88741,1/1/99
11204,Diederik,Covnot,M,40000,1/1/99
11207,Saeed,Gips,F,49728,1/1/99
11208,Saniya,Valtorta,F,83660,1/1/99
11211,Yurij,Rissland,M,72668,1/1/99
11217,Kellie,Mawatari,M,40000,1/1/99
11319,Pranas,Marrakchi,F,40000,1/1/99
11320,Atilio,McAlpine,M,45118,1/1/99
11322,Nathalie,Pocchiola,F,43021,1/1/99
11232,Hidefumi,Crelier,M,43863,1/1/99
11324,Kauko,Billingsley,F,54288,1/1/99
11338,Kwangsub,Hanratty,M,82210,1/1/99
11339,Flemming,Massonet,M,40000,1/1/99
11347,Anneli,Jonsson,M,41524,1/1/99
11365,Toshimi,Shinomoto,M,56463,1/1/99
11376,Valery,Suomi,M,46964,1/1/99
11380,Kenroku,Pelc,M,53345,1/1/99
11385,Shiv,Ullian,M,40000,1/1/99
11386,Alselm,Assaf,F,47726,1/1/99
11393,Junsik,Junot,M,40000,1/1/99
11398,Oscar,Peir,M,44625,1/1/99
11404,Bedrich,Borovoy,M,42907,1/1/99
11415,Sanjiv,Anido,M,40000,1/1/99
11421,Josyula,Msuda,F,52416,1/1/99
11441,Marlo,Aingworth,M,67352,1/1/99
11449,Kotesh,Asser,M,61434,1/1/99
11459,Duke,Suomi,M,40000,1/1/99
11469,Guttorm,Giaccio,M,44625,1/1/99
11506,Rance,Picel,F,89747,1/1/99
11509,Aleksander,Feldhoffer,M,40000,1/1/99
11513,Otmar,Mahnke,M,82525,1/1/99
11515,Ulf,Basawa,F,70182,1/1/99
11240,Kiam,Condotta,M,61739,1/1/99
11518,Jinxi,Oxman,M,40000,1/1/99
11524,Xiadong,Standera,M,41081,1/1/99
11527,Alagu,Boyle,M,60212,1/1/99
11528,Zito,Dolinsky,M,44026,1/1/99
11249,Randi,Cyre,M,43324,1/1/99
11537,DAIDA,Pehl,M,96023,1/1/99
11251,Bezalel,Chinal,M,69432,1/1/99
11268,Aimee,Petersohn,F,40000,1/1/99
11554,Subhash,Taubenfeld,M,46065,1/1/99
11555,Kotesh,Perfilyeva,M,40000,1/1/99
11567,Teiji,Mitzlaff,M,86261,1/1/99
11568,Martins,Fujisaki,M,54673,1/1/99
11275,Hitomi,Eppinger,F,58382,1/1/99
11603,Herb,Swen,F,69180,1/1/99
11290,Visit,Dredge,M,65034,1/1/99
11607,Tomokazu,Foong,F,49584,1/1/99
11615,Shem,Isaak,F,46591,1/1/99
11624,Adil,Gammage,M,42001,1/1/99
11628,Fan,Malinowski,M,43966,1/1/99
11295,Abdelkader,Lanzelotte,M,66622,1/1/99
11640,Valeri,Coorg,M,52520,1/1/99
11673,Henk,Felder,F,40000,1/1/99
11647,Magy,Nitsche,M,40000,1/1/99
11660,Gill,Stenning,F,65758,1/1/99
11676,Valeri,Ferriere,F,43310,1/1/99
11681,Fumitake,Benzmuller,F,40000,1/1/99
11684,Oksana,Gide,F,68753,1/1/99
11853,Zeljko,Kusakabe,F,61941,1/1/99
11857,Divier,Farrag,F,94805,1/1/99
11696,Dante,Rothe,M,51633,1/1/99
11864,Pradeep,Kriebel,F,52517,1/1/99
11871,Nalini,Sommen,M,67424,1/1/99
11872,Cheong,Riexinger,M,43159,1/1/99
11732,Sanjoy,Ranft,F,40000,1/1/99
11894,Mitchel,Validov,M,56198,1/1/99
11897,Cordelia,Setlzner,M,80049,1/1/99
11906,Hideo,Boguraev,F,81324,1/1/99
11915,Miomir,Mawatari,M,58042,1/1/99
11735,Amalendu,Picci,M,40000,1/1/99
11746,Koichi,Marrakchi,F,55951,1/1/99
11931,Gunilla,Chiodo,F,73369,1/1/99
11933,Basil,Erman,M,56130,1/1/99
11751,Jiafu,Emiris,M,40000,1/1/99
11949,Martijn,Harbusch,M,40000,1/1/99
11764,Sanjay,Anick,F,64875,1/1/99
11769,Chandrasekaran,Lampe,M,40000,1/1/99
11983,Jaana,Hedayat,M,40000,1/1/99
11772,Gaurav,Penz,F,61295,1/1/99
11797,Chenxi,Thambidurai,M,88050,1/1/99
11993,Marit,Dalphin,M,56505,1/1/99
12011,Zhilian,Coorg,F,85833,1/1/99
11810,Amabile,Bhattacharjee,M,41256,1/1/99
11817,Niranjan,Markovitch,M,50638,1/1/99
11832,Arto,Zlotek,M,40000,1/1/99
11844,Shawna,Demeyer,M,78049,1/1/99
12036,Mads,Ratzlaff,M,67143,1/1/99
12037,Arunas,Katzenelson,M,47805,1/1/99
12050,Yuchang,Tchuente,F,46704,1/1/99
12221,Vincent,Melter,M,56736,1/1/99
12062,Margareta,Worfolk,M,44199,1/1/99
12069,Ayonca,Burnard,M,51928,1/1/99
12070,Ger,Shokrollahi,M,50233,1/1/99
12076,Karlis,Siprelle,F,75381,1/1/99
12082,Xinan,Yamaashi,M,72118,1/1/99
12089,Bilhanan,Socorro,M,46288,1/1/99
12222,Abdelwaheb,Holburn,F,55840,1/1/99
12223,Niteen,Koyama,F,54459,1/1/99
12247,Subbu,Penttonen,F,59183,1/1/99
12099,Nobuyoshi,Kuzuoka,M,104610,1/1/99
12112,Satyanarayana,Avouris,M,76538,1/1/99
12122,Satoru,Krone,F,46398,1/1/99
12123,Xiahua,Syrzycki,F,64879,1/1/99
12125,Shounak,Erman,F,41215,1/1/99
12249,Eldridge,Sadowski,M,70099,1/1/99
12256,Guadalupe,Reghbati,F,40000,1/1/99
12149,Suebskul,Grandbois,M,109934,1/1/99
12264,Mart,Pagter,M,51816,1/1/99
12159,Shem,Perly,M,61210,1/1/99
12165,Xiaobin,Maquelin,F,41951,1/1/99
12270,Shakhar,Kornyak,M,52840,1/1/99
12183,Harngdar,Iisaku,M,40000,1/1/99
12272,Behnaam,Grandbois,F,43811,1/1/99
12192,Feiyu,Klyachko,F,41625,1/1/99
12205,Sushant,Rossi,M,40000,1/1/99
12206,Barton,Janetzko,F,40000,1/1/99
12218,Yaghout,Strooper,M,40000,1/1/99
12308,Mototsugu,Cronau,M,58741,1/1/99
12411,Shao,Ibel,M,97610,1/1/99
12413,Hugh,Gadepally,F,53179,1/1/99
12311,Susanne,Lubachevsky,M,40000,1/1/99
12417,Dannz,Spelt,F,67342,1/1/99
12422,Berhard,Demos,F,71376,1/1/99
12327,DAIDA,Bruckman,M,67449,1/1/99
12341,Rasiah,Luga,M,40000,1/1/99
12454,Kerryn,Farris,F,41347,1/1/99
12464,Shai,Milicic,F,50448,1/1/99
12343,Sorina,Slaats,M,52134,1/1/99
12475,Filipe,Roison,M,40000,1/1/99
12365,Kamakshi,Bisiani,M,40000,1/1/99
12487,Mona,Reghbati,F,40000,1/1/99
12489,Arnould,Munck,F,63306,1/1/99
12490,Jackson,Muchinsky,F,40000,1/1/99
12497,Stein,Penz,M,81191,1/1/99
12501,Morrie,Matheson,F,76082,1/1/99
12504,Adly,Rosaz,F,40000,1/1/99
12373,Mooi,Driscoll,F,75986,1/1/99
12514,Tomofumi,Melter,M,54241,1/1/99
12395,Sanjit,Felder,M,66909,1/1/99
12528,Conor,Cincotta,F,40000,1/1/99
12534,Yongmao,Gerlach,M,66715,1/1/99
12541,Shih,Nanard,M,93105,1/1/99
12542,Kazuhide,Bouloucos,F,44176,1/1/99
12551,Jeane,Tzvieli,M,40000,1/1/99
12553,Aral,Vesna,M,40000,1/1/99
12557,Stafford,Kopetz,M,41840,1/1/99
12589,Anoosh,Chleq,M,59441,1/1/99
12596,Breannda,Roisin,M,40000,1/1/99
12601,Ghassan,Simkin,M,41714,1/1/99
12608,Nectarios,Mondadori,M,40000,1/1/99
12635,Xinyu,Restivo,F,40000,1/1/99
12638,Yuqun,Seiwald,F,56677,1/1/99
12642,Suebskul,Gips,F,68271,1/1/99
12651,Pragnesh,Bael,M,75150,1/1/99
12662,Leucio,Alvarado,M,69016,1/1/99
12663,Nobuyoshi,Stellhorn,M,49966,1/1/99
12664,Zhonghua,Parveen,M,40000,1/1/99
12689,Luerbio,Boudaillier,M,59689,1/1/99
12691,Oddvar,Gils,M,48493,1/1/99
12697,Uri,Brizzi,M,40000,1/1/99
12709,Ronghao,Botman,M,45510,1/1/99
12717,Tzu,Jiafu,F,53194,1/1/99
12722,Elliott,Cheshire,F,62325,1/1/99
12726,Fumitake,Panwar,M,61177,1/1/99
12729,Nahla,Rahier,F,51796,1/1/99
12731,Yongmao,Waymire,F,40000,1/1/99
12732,Mara,Takanami,M,74436,1/1/99
12734,Gil,Frijda,M,40000,1/1/99
12399,Mihalis,Luga,M,85582,1/1/99
12755,Rildo,Rodite,F,40196,1/1/99
12790,Gunilla,Perl,F,87760,1/1/99
12773,Jenwei,Lovengreen,M,65556,1/1/99
12795,Masoud,Fordan,M,56969,1/1/99
12977,Byong,Markovitch,M,61326,1/1/99
12983,Elliott,Hambrick,F,57252,1/1/99
12798,Lillian,Beeson,F,81145,1/1/99
12803,Gad,Boissier,M,91789,1/1/99
12815,Sushant,Junot,M,65073,1/1/99
12819,Mountaz,Gubsky,M,48455,1/1/99
12848,Kazuhide,Smeets,M,40000,1/1/99
13030,Yahiko,Kroll,M,51770,1/1/99
13046,Vivian,Stafford,M,40000,1/1/99
13047,Atilio,Chelton,M,52323,1/1/99
12863,Leif,Matheson,M,62803,1/1/99
12872,Marl,Schmittgen,F,56040,1/1/99
12879,Baruch,Eugenio,M,40000,1/1/99
12890,Neven,Casley,F,66803,1/1/99
12893,Licheng,Crouzet,M,50803,1/1/99
12895,Roddy,Serot,M,40000,1/1/99
12905,Munehiro,Gecsei,M,58659,1/1/99
12926,Heekeun,Luby,M,68314,1/1/99
12940,Odinaldo,Farrar,F,49760,1/1/99
12941,Tommaso,Perelgut,F,67069,1/1/99
12949,Geoff,Asrin,F,40000,1/1/99
13075,Rosella,Morrin,M,40000,1/1/99
13076,Deniz,Skafidas,F,50582,1/1/99
13146,Haldon,Erie,M,61398,1/1/99
13096,Ibibia,Armand,M,52544,1/1/99
13103,Srinidhi,Ellozy,F,40000,1/1/99
13124,Quingbo,Garnick,F,73785,1/1/99
13133,Guther,Senzako,M,67777,1/1/99
13134,Lorien,Chepyzhov,M,51227,1/1/99
13144,Persi,Nollmann,M,52825,1/1/99
13147,Shichao,Ginesta,M,77429,1/1/99
13156,Akeel,Millington,M,48285,1/1/99
13332,Nidapan,Pearson,F,40000,1/1/99
13333,Yoshinari,Hennebert,M,50997,1/1/99
13341,Bodh,Doering,F,40000,1/1/99
13165,Lucian,Benner,F,42796,1/1/99
13343,Heon,Usery,M,40000,1/1/99
13168,Munir,Stentiford,F,49210,1/1/99
13170,Cheong,Bernardeschi,M,49012,1/1/99
13368,Kiyokazu,Klassen,M,52872,1/1/99
13371,Nakhoon,Riexinger,F,40000,1/1/99
13171,Anoosh,Birnbaum,M,40000,1/1/99
13373,Juichirou,Naumovich,M,82749,1/1/99
13173,Arve,Horswill,M,46354,1/1/99
13179,Moty,Janocha,M,90233,1/1/99
13385,Claudi,Buchter,M,40000,1/1/99
13386,Khosrow,Sgarro,F,91420,1/1/99
13389,Divine,Cmelik,F,40000,1/1/99
13392,Fumitake,Beidas,F,69221,1/1/99
13396,Chuanyi,Aumann,F,40000,1/1/99
13402,Augustine,Dulli,M,40000,1/1/99
13405,Randy,Baba,F,60799,1/1/99
13407,Gio,Chenoweth,M,60348,1/1/99
13408,Sreekrishna,Lagarias,M,52479,1/1/99
13415,Nathalie,Speer,F,61838,1/1/99
13182,Kokou,Rodite,M,46832,1/1/99
13186,Kyoichi,Barbanera,M,93138,1/1/99
13422,Vishwani,Gerlach,F,59466,1/1/99
13192,Rosita,Flowers,M,43986,1/1/99
13202,Aram,Scharstein,F,51915,1/1/99
13442,Giordano,Miake,M,40000,1/1/99
13443,Mayuko,Puppo,M,40000,1/1/99
13210,Jianhua,Klassen,M,83961,1/1/99
13445,Renee,Dehkordi,M,53194,1/1/99
13451,Gretta,Weiland,M,40000,1/1/99
13457,Shooichi,Parfitt,M,40812,1/1/99
13458,Feipei,Nivat,F,41375,1/1/99
13463,Theron,Berstel,F,40000,1/1/99
13213,Hein,Billawala,M,61131,1/1/99
13465,Sasan,Rehfuss,M,49821,1/1/99
13232,Mitchel,Fujisaki,F,40000,1/1/99
13493,Uinam,Jullig,F,40000,1/1/99
13233,Alselm,Chvatal,M,49414,1/1/99
13504,Parto,Mandell,F,41895,1/1/99
13238,Ebru,Foote,F,40000,1/1/99
13240,King,Pileggi,M,49018,1/1/99
13250,Zeydy,Schusler,M,47829,1/1/99
13272,Arun,Jiang,F,40000,1/1/99
13524,Chaoyi,Porotnikoff,F,52849,1/1/99
13535,Arunas,Schlenzig,F,40000,1/1/99
13546,Aimee,Brookner,F,50295,1/1/99
13549,Matk,Koprowski,M,40000,1/1/99
13276,Yechiam,Seuren,M,65836,1/1/99
13288,Muneo,Broomell,F,40000,1/1/99
13552,Ingmar,Capobianchi,M,73346,1/1/99
13576,Jungsoon,Engberts,F,73022,1/1/99
13291,Georg,Stamatiou,M,54720,1/1/99
13302,Mack,Alencar,F,40000,1/1/99
13605,Dmitry,Encarnacion,F,70404,1/1/99
13621,Fei,Haddadi,M,73192,1/1/99
13624,Zhigen,Yurek,M,40000,1/1/99
13629,Dzung,Trelles,M,40000,1/1/99
13315,Sakthirel,Stroustrup,F,40000,1/1/99
13704,Vishu,Kumaresan,F,40000,1/1/99
13648,Zejun,Lamba,F,47723,1/1/99
13653,Kristen,Iivonen,M,53242,1/1/99
13670,Moti,Takanami,F,40000,1/1/99
13680,Denny,Speer,M,46968,1/1/99
13721,Sugwoo,Delgrossi,F,64754,1/1/99
13685,Weicheng,Hockney,F,48322,1/1/99
13697,Shuichi,Weedon,M,40000,1/1/99
13727,Vitali,Merey,M,50798,1/1/99
13738,Bangqing,Mitchem,F,48349,1/1/99
13766,Tremaine,Heemskerk,M,43748,1/1/99
13894,Ult,Schonegge,F,48958,1/1/99
13904,Youngkon,Cairo,M,73885,1/1/99
13934,Shiv,Bratsberg,F,46507,1/1/99
13942,Elzbieta,Esteva,M,40000,1/1/99
13951,Mooi,Genther,F,82054,1/1/99
13960,Nechama,Hettesheimer,M,43204,1/1/99
13962,Maris,Ghelli,M,67965,1/1/99
13966,Boguslaw,Cooman,F,40000,1/1/99
13969,Jianwen,Chandrasekhar,F,60392,1/1/99
13990,Deborah,Schapiro,F,52723,1/1/99
13992,Ulises,Kenevan,M,81318,1/1/99
13999,Florian,Crouzet,M,40000,1/1/99
14005,Vojin,Stellhorn,M,40000,1/1/99
14015,Manibrata,Picaronny,M,63084,1/1/99
14034,Aloys,Seghrouchni,M,69700,1/1/99
14041,Shan,DeMori,F,63235,1/1/99
14067,Godehard,Trachtenberg,M,44669,1/1/99
14088,Mori,Leslie,M,44821,1/1/99
14107,Xiahua,Rindone,M,82396,1/1/99
14111,Leszek,Cummings,F,52696,1/1/99
14118,Kasturi,Anido,M,46248,1/1/99
13769,Yakichi,Trogemann,F,61025,1/1/99
13775,Arve,Maierhofer,M,70161,1/1/99
14167,Adas,Hertweck,F,40000,1/1/99
13786,Takushi,Berendt,F,74494,1/1/99
13787,Xiaobin,Sinicrope,F,40000,1/1/99
13792,Valery,Sury,M,59127,1/1/99
14191,Jiann,Luby,F,40155,1/1/99
13796,Paloma,Thorelli,M,50962,1/1/99
13809,Kiyotoshi,Basagni,M,43735,1/1/99
14209,Masanao,Kusakabe,F,40000,1/1/99
14220,Tomofumi,Pargas,F,68017,1/1/99
14232,Masali,Bojadziev,M,50568,1/1/99
13815,Guadalupe,Plotkin,M,40000,1/1/99
14236,Xuedong,Angiulli,F,40000,1/1/99
14237,Abdulla,Gerlach,F,57219,1/1/99
13825,Arlette,Pell,M,54704,1/1/99
14242,Sudhanshu,Benaini,F,40000,1/1/99
13841,Christophe,Spinelli,M,52277,1/1/99
13842,Juichirou,Cichocki,F,40000,1/1/99
13846,Guiseppe,Welham,M,61097,1/1/99
14257,Kwok,Massonet,F,40000,1/1/99
13853,Mingsen,Roohalamini,M,61615,1/1/99
13859,Anoosh,Fujisawa,M,40000,1/1/99
13884,Kensei,Swift,M,44785,1/1/99
14290,Miyeon,Olivero,M,78736,1/1/99
14292,Susanna,Vigier,F,41846,1/1/99
14298,Chriss,Granlund,F,40000,1/1/99
14310,Marlo,Leuchs,M,40000,1/1/99
14320,Sreenivas,Schaar,M,40000,1/1/99
14460,Yagil,Lueh,F,56267,1/1/99
14322,Shem,Kakkad,M,50363,1/1/99
14323,Golgen,Leslie,F,40000,1/1/99
14340,Vitaly,Wixon,M,42858,1/1/99
14344,Otilia,Buescher,F,41979,1/1/99
14354,Mong,Bojadziev,M,40000,1/1/99
14360,Janche,Erbe,M,43476,1/1/99
14372,Saniya,Srimani,F,57667,1/1/99
14478,Munehiro,Boissier,F,40000,1/1/99
14384,Tomofumi,Holburn,F,58260,1/1/99
14481,Moti,Lammel,M,40000,1/1/99
14483,Supot,Marrevee,M,40000,1/1/99
14486,Indrajit,Birdsall,M,40000,1/1/99
14498,Xiong,Selenyi,M,40000,1/1/99
14422,Toshimo,Gadepally,M,59001,1/1/99
14434,Elvis,Maginnis,M,40000,1/1/99
14439,Raimond,Woycyznski,M,80654,1/1/99
14501,Taizo,Kroft,M,63646,1/1/99
14509,Danil,Aloia,M,40000,1/1/99
14513,Samphel,Barreiro,M,83273,1/1/99
14515,Kazuhisa,Versino,F,61645,1/1/99
14632,Gudjon,McClurg,M,40000,1/1/99
14516,Kristian,Underwood,F,73262,1/1/99
14639,Arvind,Hempstead,F,79405,1/1/99
14640,Toshimori,Kornatzky,M,42662,1/1/99
14642,Florian,Kuhnemann,F,54553,1/1/99
14518,Patricia,Peir,M,64238,1/1/99
14645,Laurentiu,Glinert,F,45647,1/1/99
14522,Chuanyi,Ranta,F,40000,1/1/99
14648,IEEE,Lorys,M,89209,1/1/99
14659,Sashi,Adachi,F,40926,1/1/99
14537,Babette,Engelmann,F,48332,1/1/99
14675,Teunis,Angel,F,40000,1/1/99
14677,Herbert,Sifakis,M,40000,1/1/99
14552,Ibibia,Snyers,M,40000,1/1/99
14683,Alois,Basart,M,41107,1/1/99
14690,Yechezkel,Bellone,F,40000,1/1/99
14693,Brewster,Stranks,F,59960,1/1/99
14710,Mahmut,Hainaut,F,40341,1/1/99
14556,Fatemeh,Zultner,M,40000,1/1/99
14723,Constantino,Assaf,M,40000,1/1/99
14724,Aron,Lemarechal,M,66530,1/1/99
14560,Elrique,Driscoll,M,62770,1/1/99
14581,Gao,Condotta,F,59499,1/1/99
14582,Kiyokazu,Morrin,M,40000,1/1/99
14780,Marlo,Bruckman,F,51232,1/1/99
14785,Zhonghua,Kaiser,M,46936,1/1/99
14600,Jayson,Cairo,F,41352,1/1/99
14793,Stein,Uchoa,M,47045,1/1/99
14603,Lech,Marquardt,M,55369,1/1/99
14607,Suzette,Selvestrel,M,67813,1/1/99
14620,Jianhua,Erev,F,53303,1/1/99
14621,Souichi,Wixon,F,66404,1/1/99
15005,Kiam,Sadowsky,M,50368,1/1/99
14814,Odysseas,Nishimukai,M,40000,1/1/99
14817,Gaurav,Masaki,M,41203,1/1/99
15016,Woody,Gulik,F,40000,1/1/99
14821,Oguz,Kilgore,M,42545,1/1/99
14839,Changho,Cronin,M,40000,1/1/99
15018,Ramalingam,Prenel,F,40668,1/1/99
15019,Qingxiang,Shokrollahi,F,41721,1/1/99
15029,Giordano,Koshino,M,40000,1/1/99
14853,Taiji,Nergos,F,58311,1/1/99
15030,Rasikan,Nourani,M,40000,1/1/99
14877,Arto,Meriste,M,40000,1/1/99
15036,Ziva,Delgrande,M,40000,1/1/99
14879,Anyuan,Sigstam,M,54322,1/1/99
14888,Temple,Barriga,F,60916,1/1/99
15049,Khun,Waymire,F,40000,1/1/99
14899,Alejandro,Casley,M,64365,1/1/99
14906,Adil,Parveen,F,54758,1/1/99
14908,Kerhong,Flanders,F,40000,1/1/99
14909,Mohan,Kamble,M,40000,1/1/99
14911,Xiaobin,Chelton,F,62738,1/1/99
14914,Gretta,Benzaken,F,40000,1/1/99
14915,Huican,Picco,M,40733,1/1/99
15052,Flemming,Kranzdorf,M,40630,1/1/99
14923,Shuzo,Gyorkos,M,40000,1/1/99
